,GF,SPF,Pval
RLTR46B,1.395076655,1.292477594,0
(CCTAT)n,0.075546961,0.031812271,0
(TTTTG)n,2.836126911,2.924422993,1.0266043
tRNA-Leu-TTA,0.244100327,0.148602655,0
MER58B,2.451529861,2.491846152,0.054273332
MLTR14,2.758103729,2.765343644,0.211892856
CR1_Mam,1.765210713,1.781123214,0.021292496
(TAGTG)n,0.919824945,0.872039668,0
U4,2.979747332,3.057084627,0.078976062
RLTR1B,1.762892819,1.793469083,0.008439497
(TTAA)n,1.334166424,1.37635793,0
LTR85a,0.374486486,0.363235804,0
L1MEc,2.534278192,2.578859166,0.083970761
L2a,3.369895667,3.400282,0.02679728
RMER1B,2.953800407,2.984536314,0.002621186
MER132,0.135813898,0,0
(CTAA)n,0.80140371,0.749427099,0
LTR103_Mam,0.152725041,0.41564098,0
RLTR13B3,1.726610792,1.90326367,0.750174488
Tigger13a,1.692507002,1.806139257,0.489462709
(TCTTG)n,0.471291711,0.549738731,0
RLTR11C_MM,1.926695149,1.951045948,0.004475425
(CTCG)n,1.884366439,1.845035994,0.26218447
(GACTG)n,0.449147676,0.316808752,0
L1MA5A,2.14833819,2.156809529,0.04398668
(TCTCTG)n,2.514086461,2.542803027,0.016370185
LTRIS5,0.991669007,0.806179974,0
(CATA)n,2.311599485,2.396317933,0.569588266
tRNA-Gly-GGA,0.835418769,0.645225712,0
ERVB2_1-I_MM-int,0.286520624,0.246990699,0
MER76-int,0.055815028,0,0
MTE-int,2.747449542,2.789498922,0.116142189
(TTTC)n,2.652775242,2.696662122,0.116142189
Ricksha_a,0,0,0
Tigger1a_Mars,0,0,0
L1MDa,2.282411695,2.327301706,0.070219208
MuRRS-int,1.977579905,2.075247596,0.33778447
UCON12A,0.413060153,0.154728207,0
UCON10,0.383302319,0.216429831,0
RLTR11B,2.211337977,2.183901603,0.506229245
LTR41,1.973299425,2.078927834,0.517570089
Lx4B,2.375339568,2.387144131,0.070219208
(ACTCG)n,0,0,0
RLTR20C1_MM,2.498259341,2.583488963,0.769048103
HAL1_SS,1.333648757,1.326663507,0
MLT1F1-int,0.75160899,0.671728088,0
MLT2B3,1.843570896,1.883479731,0.014438845
IAPEY5_I-int,0.513978186,0.335257256,0
IAP1-MM_LTR,0.945960704,1.119255889,0
7SK,4.927080142,4.907630989,1.034301259
(CTACT)n,0.170261715,0.06595298,0
LTR48,1.67953172,1.772497736,0.225261614
(GGGTG)n,1.744192363,1.742002014,0.063121465
(ATAGG)n,0.666517981,0.633872263,0
MLT1G3,1.939540646,1.91041094,0.147650737
MER92-int,1.264547991,1.151185918,0
L1MA8,2.35048615,2.39565483,0.078976062
(CTATT)n,0.461969911,0.193124598,0
(CCTCG)n,0.526523887,0.190331698,0
MER63D,1.569825194,1.688668936,0.176433713
Eulor7,0,0,0
MLTR31E_MM,1.348805363,1.534381523,0
(CGAAA)n,0.640339441,0.667639706,0
RLTR30,1.474174623,1.402054936,0
RLTR26C_MM,1.588799744,1.646266456,0.046877032
MER58A,2.6736593,2.678836927,0.257598485
(ACTAG)n,0.253545686,0.070407322,0
(CGGA)n,1.905232898,1.800056889,0.550882271
L1_Mus1,3.793047039,3.783064323,0.93175875
MER74B,1.408990607,1.419063124,0
LTR109A2,0.555785176,0.658202253,0
Charlie10a,0.811096022,0.796990391,0
UCON12,0.1430148,0.375846436,0
L1ME3,2.103740209,2.196270166,0.408604087
MER125,0.379952656,0.210586025,0
RLTR44D,0.953276337,0.658774321,0
Lx2,2.897485707,2.89698452,0.601190227
RMER16_Mm,1.641119845,1.678536588,0.004475425
IAPLTR2a,1.775423189,1.752463328,0.153820078
RLTR20A2B_MM,1.741241669,1.694622746,0.240184227
LTR88c,0.681887029,0.821775467,0
MLT2B5,1.705167012,1.702775078,0.070219208
(GGTTG)n,0.554748673,0.405858399,0
RLTR19B,1.273827713,1.414304688,0
(CGCGG)n,1.804197867,1.78582792,0.10350038
LTR103b_Mam,1.984572316,1.917326924,0.95896474
UCON22,0,0.180699201,0
MMAR1,1.758111309,1.813474236,0.06278817
(CTATA)n,0.437524073,0.546295835,0
Charlie23a,1.135995383,1.323499608,0
LTR80A,0.438655343,0.177824972,0
FordPrefect,4.600721187,4.779741155,1.292652972
RLTR43B,0,0,0
MIR,3.436955062,3.481641814,0.242304948
MER127,0.726028237,0.777136713,0
Charlie21a,0.989831056,1.060320029,0
MIRb,3.604109979,3.620018769,0.225078725
tRNA-Ile-ATA,0.156202893,0.153509989,0
LTR34,0.14833819,0.115277591,0
L1ME1,2.686138115,2.710359419,0.021292496
(CCCCCA)n,1.582971929,1.526003086,0.192184841
LTR80B,0.577819941,0.745543202,0
nhAT5a_ML,0.062850482,0.072617477,0
LTR87,1.332553872,1.447344118,0
L5,0.526708418,0.352182518,0
LTR32,0.143460917,0.395501124,0
RMER19B2,2.366228115,2.408239965,0.068401068
LTR88a,0.285878652,0.124504225,0
X5A_LINE,0.356299084,0.167317335,0
Tigger1a_Art,0.537639226,0.28780173,0
(TATATG)n,2.021082928,2.100535959,0.343685043
IAPA_MM-int,1.424765001,1.392591444,0
